c0,c1,c2
вошедший,nsubj,Nom_PROPN
почтительно,advmod,ADV
и,cc,CCONJ
смущенно,advmod,ADV
филиппу,iobj,Dat_PROPN
штаны,amod,Nom_ADJ
филипп,nsubj,Nom_PROPN
подняться,conj,VERB
и,cc,CCONJ
господи,nsubj,Nom_PROPN
фрукт,obj,Acc_NOUN
волос,nsubj,Nom_NOUN
а,cc,CCONJ
затылке,obl,Loc_NOUN
они,nsubj,Nom_PRON
цвет,obl,Acc_NOUN
морщины,nsubj,Nom_PROPN
лице,obl,Loc_NOUN
фрукта,obl,Gen_NOUN
розовый,conj,Acc_ADJ
нога,nsubj,Nom_NOUN
не,advmod,PART
приходиться,parataxis,VERB
она,obj,Acc_PRON
волочить,xcomp,VERB
правая,conj,VERB
борту,obl,Dat_NOUN
глаз,obl,Nom_NOUN
камень,obj,Acc_NOUN
интерес,obl,Gen_NOUN
пса,obl,Gen_NOUN
даже,discourse,PART
тошнота,obj,Acc_NOUN
тяу,obl,Acc_PROPN
он,nsubj,Nom_PRON
легонько,advmod,ADV
конфузливо,nsubj,Nom_NOUN
взялся,parataxis,VERB
посетитель,nsubj,Nom_NOUN
пароль,nsubj,Nom_PROPN
д,advmod,ADV
оннер,nsubj,Nom_NOUN
субъект,nsubj,Nom_NOUN
пуговицу,obl,Acc_NOUN
верите,conj,VERB
профессор,conj,Nom_NOUN
ночь,conj,Acc_NOUN
хм,nsubj,Nom_PROPN
озабоченно,advmod,ADV
филипп,nsubj,Nom_PROPN
тот,nsubj,Nom_PROPN
наконец,advmod,ADV
пуговицами,obl,Ins_NOUN
снять,conj,VERB
и,cc,CCONJ
брюки,obj,Acc_NOUN
и,cc,CCONJ
духами,iobj,Ins_NOUN
пес,nsubj,Nom_NOUN
не,advmod,PART
гавкнул,conj,VERB
кошка,nsubj,Nom_NOUN
и,cc,CCONJ
так,advmod,ADV
подпрыгнул,ccomp,VERB
что,mark,SCONJ
субъект,nsubj,Nom_NOUN
бойтесь,advmod,ADV
он,nsubj,Nom_PRON
не,advmod,PART
кусаюсь,advcl,VERB
пес,nsubj,Nom_NOUN
кармана,obl,Gen_NOUN
ковер,obl,Acc_NOUN
конвертик,obj,Acc_NOUN
субъект,nsubj,Nom_NOUN
наклонился,conj,VERB
подобрал,conj,VERB
он,obj,Acc_PRON
покраснел,conj,VERB
